Id,Action
1,0.9705
2,0.996
3,0.9995
4,0.998
5,0.999
6,1.0
7,0.977
8,0.999
9,0.9025
10,0.9965
11,0.896
12,1.0
13,0.941
14,0.9685
15,0.998
16,0.949
17,0.941
18,0.9975
19,0.998
20,0.9975
21,0.9995
22,0.998
23,0.972
24,0.982
25,0.9985
26,0.958
27,0.9665
28,0.986
29,0.997
30,0.968
31,0.9945
32,0.9915
33,0.991
34,0.9925
35,0.99
36,1.0
37,0.996
38,0.9895
39,0.9795
40,0.879
41,0.962
42,0.9815
43,0.998
44,0.9975
45,0.995
46,0.972
47,0.998
48,0.998
49,0.9995
50,0.9675
51,0.979
52,0.9975
53,0.99
54,1.0
55,0.9325
56,0.995
57,0.998
58,0.9985
59,0.9635
60,0.9375
61,1.0
62,0.9875
63,0.9885
64,1.0
65,0.994
66,0.9895
67,0.95
68,1.0
69,0.964
70,0.5595
71,0.98
72,0.992
73,0.999
74,0.994
75,1.0
76,0.9945
77,0.99
78,0.855
79,0.429
80,0.9995
81,0.9745
82,0.9985
83,0.968
84,0.991
85,1.0
86,0.9955
87,0.9945
88,0.997
89,0.994
90,0.6865
91,0.9895
92,0.424
93,0.9985
94,0.9875
95,0.988
96,0.974
97,0.2275
98,0.9285
99,0.9995
100,0.995
101,0.86
102,0.914
103,0.9995
104,0.995
105,0.644
106,0.998
107,0.9945
108,0.988
109,0.999
110,0.973
111,0.436
112,0.995
113,0.9845
114,0.975
115,0.9995
116,0.997
117,0.9955
118,0.9965
119,0.9945
120,0.9945
121,0.99
122,0.997
123,0.9955
124,0.982
125,0.9985
126,0.972
127,0.98
128,0.9365
129,0.9805
130,0.9095
131,0.9995
132,0.998
133,0.93
134,0.9945
135,0.9985
136,0.9935
137,0.9955
138,0.987
139,0.807
140,0.9995
141,0.997
142,0.974
143,1.0
144,0.982
145,0.999
146,0.755
147,0.9865
148,0.9745
149,1.0
150,0.997
151,0.995
152,0.5435
153,0.996
154,0.991
155,0.998
156,0.986
157,0.953
158,0.995
159,0.7465
160,0.994
161,0.952
162,0.997
163,0.988
164,0.9765
165,0.9995
166,0.991
167,0.946
168,0.9295
169,0.9795
170,0.998
171,0.995
172,0.984
173,1.0
174,0.991
175,0.977
176,0.991
177,0.9325
178,0.9995
179,0.998
180,0.9905
181,0.808
182,0.9845
183,0.8625
184,0.85
185,0.9945
186,0.997
187,0.996
188,0.976
189,0.6955
190,0.9895
191,0.999
192,0.984
193,0.999
194,0.9945
195,0.9995
196,0.9995
197,0.987
198,0.9895
199,0.9965
200,0.267
201,0.9905
202,0.9225
203,0.996
204,0.9855
205,0.961
206,0.9845
207,0.994
208,0.9925
209,0.428
210,0.558
211,0.9905
212,0.975
213,1.0
214,0.99
215,0.998
216,0.9975
217,0.995
218,0.9795
219,1.0
220,0.9765
221,0.7795
222,1.0
223,0.996
224,0.9635
225,0.9925
226,0.888
227,0.9305
228,0.989
229,0.999
230,0.993
231,0.9765
232,0.863
233,0.9755
234,0.2435
235,0.998
236,0.8025
237,0.999
238,0.9085
239,0.972
240,0.995
241,0.995
242,0.6545
243,0.2325
244,0.9905
245,0.991
246,0.9855
247,0.9805
248,0.985
249,0.9915
250,0.999
251,0.9655
252,0.669
253,0.984
254,0.9985
255,0.999
256,0.9865
257,0.998
258,0.884
259,0.9975
260,0.999
261,0.971
262,0.9885
263,0.9975
264,1.0
265,0.9945
266,0.9875
267,0.999
268,0.9975
269,0.999
270,0.9995
271,0.9905
272,0.948
273,0.999
274,0.305
275,0.9995
276,0.957
277,0.9465
278,0.9965
279,0.938
280,0.9825
281,0.9995
282,0.9785
283,0.9595
284,0.9285
285,0.997
286,0.967
287,0.993
288,0.9985
289,0.9985
290,0.9995
291,0.828
292,0.483
293,0.9815
294,0.962
295,0.998
296,0.097
297,0.2895
298,0.9995
299,0.9445
300,0.9935
301,0.8905
302,1.0
303,0.7925
304,0.9685
305,0.998
306,0.996
307,0.9995
308,0.999
309,0.9985
310,0.9955
311,0.996
312,0.988
313,0.999
314,0.9885
315,0.995
316,0.998
317,0.93
318,0.997
319,0.9925
320,1.0
321,0.9945
322,0.091
323,0.9995
324,0.987
325,0.9855
326,0.808
327,0.9995
328,0.999
329,0.9815
330,0.9715
331,0.9995
332,1.0
333,0.9715
334,0.984
335,0.9995
336,0.947
337,0.9945
338,0.999
339,0.9995
340,0.972
341,0.986
342,0.969
343,0.9125
344,1.0
345,0.9845
346,0.924
347,0.9935
348,0.9935
349,0.987
350,0.7475
351,0.9905
352,0.995
353,0.9935
354,0.487
355,0.99
356,0.999
357,0.967
358,0.987
359,0.9875
360,0.6445
361,0.9865
362,0.9965
363,1.0
364,0.941
365,0.9995
366,0.994
367,0.9925
368,0.9925
369,0.9845
370,0.999
371,1.0
372,0.9505
373,0.914
374,0.1775
375,0.984
376,0.988
377,0.56
378,0.976
379,0.997
380,0.944
381,0.675
382,0.998
383,0.9995
384,0.9605
385,0.903
386,0.9995
387,0.885
388,0.866
389,0.9985
390,0.998
391,0.975
392,0.9835
393,0.994
394,1.0
395,0.972
396,1.0
397,0.9995
398,0.994
399,0.994
400,0.9905
401,0.9845
402,0.988
403,0.9945
404,0.667
405,0.9985
406,0.9555
407,0.99
408,0.9915
409,0.9965
410,0.9995
411,0.9975
412,0.933
413,0.9825
414,0.9795
415,0.998
416,0.9575
417,1.0
418,0.993
419,0.978
420,0.9915
421,0.998
422,0.9905
423,0.957
424,0.9165
425,0.9975
426,0.9995
427,0.9925
428,0.999
429,0.8825
430,1.0
431,0.9995
432,0.9365
433,0.9785
434,0.994
435,0.969
436,0.9985
437,0.9605
438,0.1175
439,0.936
440,0.1825
441,0.996
442,0.991
443,0.983
444,1.0
445,0.9455
446,0.9975
447,0.966
448,0.9965
449,1.0
450,0.975
451,0.907
452,1.0
453,0.999
454,0.75
455,0.966
456,0.9985
457,0.9975
458,0.925
459,0.9995
460,0.183
461,0.4225
462,1.0
463,0.996
464,0.994
465,1.0
466,0.999
467,0.164
468,0.9475
469,0.993
470,0.9955
471,0.9945
472,0.9795
473,1.0
474,0.997
475,0.997
476,0.976
477,0.999
478,0.9915
479,0.9825
480,1.0
481,0.991
482,0.9865
483,0.998
484,0.9955
485,0.998
486,0.997
487,0.982
488,0.991
489,0.9995
490,0.992
491,0.9995
492,0.9995
493,0.9045
494,1.0
495,0.997
496,0.9995
497,0.999
498,0.9975
499,0.987
500,0.995
501,0.9945
502,0.4255
503,0.9995
504,1.0
505,0.72
506,0.994
507,0.998
508,0.9865
509,0.979
510,0.2135
511,0.992
512,0.9855
513,0.9945
514,0.9115
515,0.995
516,0.9965
517,0.9955
518,0.979
519,0.9895
520,0.566
521,0.999
522,0.9445
523,0.9955
524,0.142
525,0.9895
526,0.535
527,0.956
528,0.992
529,0.9625
530,0.99
531,0.9795
532,0.988
533,0.9915
534,0.974
535,0.99
536,0.9995
537,0.996
538,0.9835
539,0.9225
540,1.0
541,0.981
542,0.99
543,0.3725
544,0.972
545,0.8735
546,0.9995
547,0.41
548,0.995
549,0.974
550,0.9925
551,0.9975
552,0.9815
553,0.9965
554,0.964
555,0.976
556,0.997
557,0.9985
558,0.9975
559,0.991
560,0.977
561,0.9645
562,0.9815
563,0.9935
564,0.948
565,0.9975
566,0.8355
567,0.962
568,0.964
569,1.0
570,0.9985
571,0.644
572,0.9995
